Month,A&D_Weight,Sales wt,Profit wt,Op cash wt,Restruct wt,Interest cash wt,Tax cash wt,Dividends wt,M&A wt,Equity wt,Other wt
Jan,0.081,0.069,0.015,0,0,0,0,0,0.083,0.25,0.083
Feb,0.081,0.076,0.058,0.056,0.316,-0.019,-0.019,0,0.083,0,0.083
Mar,0.085,0.086,0.076,-0.152,0.085,0.116,0.116,0,0.083,0,0.083
Apr,0.083,0.086,0.075,-0.003,0.099,0.145,0.145,0,0.083,0.25,0.083
May,0.083,0.081,0.029,0.113,0.064,0.084,0.084,0.662,0.083,0,0.083
Jun,0.085,0.094,0.14,0.113,0.062,0.282,0.282,0,0.083,0,0.083
Jul,0.083,0.085,0.066,-0.076,0.062,0.021,0.021,0,0.083,0.25,0.083
Aug,0.083,0.087,0.096,0.061,0.062,0.027,0.027,0,0.083,0,0.083
Sep,0.086,0.09,0.156,0.037,0.062,0.127,0.127,0.317,0.083,0,0.083
Oct,0.083,0.081,0.177,0.287,0.062,0.133,0.133,0.001,0.083,0.25,0.083
Nov,0.082,0.083,0.128,0.295,0.062,0.044,0.044,0.002,0.083,0,0.083
Dec,0.086,0.082,-0.016,0.27,0.062,0.042,0.042,0.018,0.083,0,0.083
