Month,A&D_Weight,Sales wt,Profit wt,Op cash wt,Op Cash Risk wt,Restruct wt,Interest cash wt,Tax cash wt,Dividends wt,M&A wt,Equity wt,Other wt
Jan,0.083,0.064,0.015,0.031,0.031,0.083,-0.009,-0.009,-0.017,0.083,0,0.083
Feb,0.083,0.071,0.063,0.031,0.031,0.083,-0.009,-0.009,0.017,0.083,0,0.083
Mar,0.083,0.080,0.080,-0.165,0.000,0.083,0.112,0.112,0.000,0.083,0.095,0.083
Apr,0.083,0.081,0.078,-0.022,0.000,0.083,0.141,0.141,0.000,0.083,-0.008,0.083
May,0.083,0.080,0.041,0.086,0.086,0.083,0.081,0.081,0.690,0.083,0.03,0.083
Jun,0.083,0.095,0.167,0.117,0.117,0.083,0.288,0.288,0.000,0.083,-0.091,0.083
Jul,0.083,0.087,0.064,-0.052,0.000,0.083,0.019,0.019,0.000,0.083,0.003,0.083
Aug,0.083,0.095,0.110,-0.052,0.000,0.083,0.039,0.039,0.000,0.083,0.06,0.083
Sep,0.083,0.091,0.125,0.105,0.105,0.083,0.211,0.211,0.325,0.083,0.05,0.083
Oct,0.083,0.086,0.079,0.283,0.283,0.083,0.033,0.033,-0.004,0.083,0.419,0.083
Nov,0.083,0.085,0.074,0.325,0.325,0.083,0.041,0.041,-0.012,0.083,0.102,0.083
Dec,0.083,0.084,0.105,0.314,0.022,0.083,0.053,0.053,0.000,0.083,0.339,0.083
